towN;genus;presence;N;N_km2;date;BAT;SLP;RGH;SUB;TFE;TEM;SAL;NIT;PHO;EKE
114;Scyliorhinus;0;0;0;15/04/2021;328,72;2,881268821;84;1;108,5967996;13,61186123;38,58768463;4,422634602;0,226107046;7,42E-05
176;Scyliorhinus;0;0;0;15/04/2021;587,5;2,443628713;53;1;55,4353334;13,43241215;38,59022522;4,688836098;0,237872079;7,21E-05
26;Scyliorhinus;0;0;0;20/04/2021;566,6;2,545229793;66;1;226,4291016;13,60880756;38,635746;4,791718483;0,241945818;2,58E-06
101;Scyliorhinus;1;20;129,659;20/04/2021;132,3;0,252267459;4;1;87,48284444;13,22535896;38,13245773;1,901328564;0,096481591;1,38E-06
149;Scyliorhinus;1;2;8,204;20/04/2021;421,5;2,745027228;58;1;217,6088901;13,60880756;38,635746;4,791718483;0,241945818;2,58E-06
123;Scyliorhinus;1;8;20,28006774;21/04/2021;180,57;1,101881417;27;1;71,90408849;13,60652065;38,40603256;3,741181612;0,194767475;5,18E-05
152;Scyliorhinus;1;25;46,70305444;21/04/2021;88,43;1,101881417;27;1;71,90408849;13,60652065;38,40603256;3,741181612;0,194767475;5,18E-05
103;Scyliorhinus;1;6;8,089146582;27/04/2021;330;2,317800058;95;1;143,1143551;13,57368755;38,45330048;3,459422112;0,179054126;0,000737204
182;Scyliorhinus;0;0;0;27/04/2021;305,1;2,881268821;86;1;108,5967996;13,57368755;38,45330048;3,459422112;0,179054126;0,000737204
31;Scyliorhinus;0;0;0;29/04/2021;103,2;0,618928505;12;4;64,39719971;13,59406376;38,22602081;1,40302825;0,073203437;0,000637863
75;Scyliorhinus;0;0;0;29/04/2021;392,3;2,268940308;26;1;147,5404683;13,54282856;38,6086731;4,419715881;0,225313827;8,25E-05
130;Scyliorhinus;0;0;0;29/04/2021;609,9;2,751983486;39;1;58,13835605;13,27795219;38,57248306;5,028833389;0,252481222;0,000426145
145;Scyliorhinus;0;0;0;29/04/2021;685,2;3,32689828;113;1;99,5325344;13,41927052;38,593853;4,761258602;0,240791455;0,000162869
163;Scyliorhinus;1;4;21,16;29/04/2021;292,1;2,453659017;60;1;107,9625327;13,30351543;38,46276093;3,411505938;0,176391497;0,000102746
187;Scyliorhinus;1;2;13,48373087;29/04/2021;129,8;0,855802073;6;2;112,8349774;13,56357193;38,27690887;2,003543377;0,113135859;0,000268543
10;Scyliorhinus;0;0;0;12/05/2021;598;3,372072844;108;1;20,51354284;13,61611557;38,53497696;4,090906143;0,209835336;7,99E-05
80;Scyliorhinus;0;0;0;12/05/2021;32,7;0,186488487;6;1;548,7813779;14,82121372;38,07926559;0,705726624;0,032757904;2,28E-05
85;Scyliorhinus;1;6;65,192;12/05/2021;88,5;0,041335691;1;1;38,52817763;13,72065735;38,25023651;1,654916644;0,097634569;7,34E-06
148;Scyliorhinus;0;0;0;12/05/2021;601,5;3,243611447;71;1;25,97425393;13,24066353;38,55289459;4,864909172;0,245040312;0,000102627
167;Scyliorhinus;0;0;0;12/05/2021;71,4;0,078981206;2;1;136,6676015;13,92216396;38,14701843;1,641692758;0,089276023;4,28E-05
36;Scyliorhinus;1;58;202,3093966;13/05/2021;63,4;0,158126481;3;2;18,92955556;14,04633713;38,15899658;1,261253834;0,081847548;0,000210036
63;Scyliorhinus;1;9;34,8989661;13/05/2021;63,5;0,182851384;3;1;18,89431124;13,95081806;38,17356873;1,444729805;0,093284331;0,000125916
27;Scyliorhinus;1;68;532,089;19/05/2021;110,6;1,485047313;18;1;59,93168828;13,7759676;38,23764038;1,728012681;0,099606983;8,89E-05
55;Scyliorhinus;1;1;5,743;19/05/2021;355,7;1,60615799;29;1;147,4292888;13,68094826;38,60260391;4,206958294;0,215468332;1,47E-05
69;Scyliorhinus;0;0;0;19/05/2021;637,6;2,675067032;54;1;123,087377;13,39036179;38,5950737;4,838339806;0,243978679;0,000167296
6;Scyliorhinus;0;0;0;27/05/2021;127;1,878232977;3;1;375,1976869;13,58859634;38,24251938;2,777643204;0,15158686;7,92E-05
84;Scyliorhinus;0;0;0;27/05/2021;578;3,27310028;294;1;821,9249613;13,68860149;38,60640717;4,313549042;0,21940437;6,58E-06
129;Scyliorhinus;1;9;12,59921047;27/05/2021;147,2;1,714631905;11;1;208,3180011;13,66245461;38,30010605;2,909604073;0,156783924;3,95E-05
147;Scyliorhinus;0;0;0;27/05/2021;293,8;5,42458271;101;1;567,783598;13,6235714;38,62159348;4,588537216;0,23218447;2,93E-06
169;Scyliorhinus;1;22;25,30715;27/05/2021;132,87;1,714631905;18;1;192,2199579;13,63055134;38,32335281;2,982334137;0,159535974;1,22E-05
117;Scyliorhinus;1;87;1458,019838;09/06/2021;134;0,70163387;5;4;9,928750014;13,61111164;38,22124863;2,334383249;0,133622125;5,07E-05
156;Scyliorhinus;1;4;156,083;09/06/2021;535,8;3,955692029;93;1;189,6929786;13,63728809;38,62694168;4,462444782;0,226804942;8,99E-05
186;Scyliorhinus;1;12;148,902;09/06/2021;347,5;1,38782879;83;1;81,69826649;13,64084911;38,36769867;3,549237251;0,184929833;2,58E-06
1;Scyliorhinus;1;600;1469,270213;22/06/2021;123,34;0,41861732;5;2;7,820000044;13,71246624;38,27879715;2,725987196;0,153234065;0,000173407
39;Scyliorhinus;1;97;250,8420016;22/06/2021;125,3;1,411472992;6;2;11,01928883;13,71246624;38,27879715;2,725987196;0,153234065;0,000173407
59;Scyliorhinus;0;0;0;23/06/2021;600;3,243611447;72;1;25,97425393;13,32010365;38,57269669;4,768486977;0,240679651;2,16E-05
93;Scyliorhinus;0;0;0;23/06/2021;668,4;3,243611447;72;1;25,97425393;13,32010365;38,57269669;4,768486977;0,240679651;2,16E-05
99;Scyliorhinus;0;0;0;23/06/2021;542,8;3,372072844;108;1;20,51354284;13,61206245;38,53443146;4,156833649;0,212514162;1,33E-06
113;Scyliorhinus;0;0;0;23/06/2021;613,4;3,372072844;84;1;20,51354284;13,32010365;38,57269669;4,768486977;0,240679651;2,16E-05
76;Scyliorhinus;1;6;21,99871608;30/06/2021;382,2;3,67170447;67;1;263,152488;13,35934353;38,58354187;4,736868382;0,239157945;5,78E-05
139;Scyliorhinus;1;9;68,77063023;30/06/2021;128,4;1,935180128;59;1;203,7424442;13,61980438;38,34228897;3,064086199;0,166420117;0,000226675
188;Scyliorhinus;0;0;0;30/06/2021;570,9;3,67170447;54;1;288,9542221;13,35934353;38,58354187;4,736868382;0,239157945;5,78E-05
22;Scyliorhinus;0;0;0;08/07/2021;334,9;6,44569081;176;1;55,52626597;13,68455887;38,52502823;4,693570614;0,24327673;0,000175112
44;Scyliorhinus;1;8;16,36232738;08/07/2021;173,3;6,799344739;26;1;107,0512219;13,66470146;38,29627609;4,080235958;0,232177079;9,33E-05
74;Scyliorhinus;0;0;0;08/07/2021;337;6,44569081;176;1;55,52626597;13,68455887;38,52502823;4,693570614;0,24327673;0,000175112
108;Scyliorhinus;1;17;30,80083772;08/07/2021;176,31;6,799344739;30;1;107,0512219;13,62623024;38,34716034;4,201683998;0,22854504;0,000199709
68;Scyliorhinus;0;0;0;14/07/2021;97,4;0,510701079;7;4;111,9501778;14,06842613;38,16303253;1,56865263;0,103503071;8,12E-05
160;Scyliorhinus;0;0;0;14/07/2021;542,7;3,242815806;145;1;672,576672;13,53203106;38,62300491;4,85613203;0,244364589;3,15E-05
193;Scyliorhinus;0;0;0;14/07/2021;409,9;2,394713347;30;1;131,9033467;13,73447704;38,6547966;4,592354298;0,232320398;0,000100416
134;Scyliorhinus;1;24;158,053893;22/07/2021;130,4;0,252267459;4;1;87,48284444;13,72981071;38,39344788;3,449137926;0,190260887;2,29E-05
136;Scyliorhinus;0;0;0;22/07/2021;552,9;2,745027228;89;1;217,6088901;13,66890049;38,66181183;4,675310135;0,236233175;5,72E-06
142;Scyliorhinus;0;0;0;22/07/2021;447,4;2,745027228;54;1;217,6088901;13,66890049;38,66181183;4,675310135;0,236233175;5,72E-06
110;Scyliorhinus;1;11;16,63732448;26/07/2021;157,37;1,101881417;17;1;71,90408849;13,6287365;38,35764694;3,913386106;0,222666159;3,08E-05
155;Scyliorhinus;0;0;0;27/07/2021;672,78;2,24352338;60;1;78,39000151;13,27359486;38,56325912;5,139594555;0,256601781;0,000166013
38;Scyliorhinus;1;28;190,294;28/07/2021;173,7;1,07104434;17;1;136,6913344;13,64711285;38,37503052;3,23824501;0,175232545;1,82E-06
67;Scyliorhinus;1;2;10,15773335;28/07/2021;375,7;2,453659017;29;1;107,9625327;13,60063553;38,58581543;4,098760605;0,210608587;2,82E-07
100;Scyliorhinus;0;0;0;28/07/2021;545,3;3,04592221;40;1;103,4471118;13,46848011;38,59621811;4,496370316;0,228030145;3,54E-06
4;Scyliorhinus;1;25;30,39206899;29/07/2021;128,71;1,857591756;34;1;207,3189783;13,65221596;38,51383972;4,279252529;0,219027981;8,93E-10
125;Scyliorhinus;1;1;1,579531391;02/08/2021;475;2,84663304;102;1;216,2143994;13,440135;38,58507919;4,901005745;0,246731803;1,23E-06
131;Scyliorhinus;1;2;3,279172676;02/08/2021;561,75;2,7901846;62;1;169,4286217;13,33311558;38,57034302;4,908473492;0,246779561;1,72E-06
168;Scyliorhinus;1;8;131,2370914;05/10/2021;432;8,121639093;256;1;5,565571461;13,57494164;38,62186813;5,146145821;0,258642823;0,001092476
33;Scyliorhinus;1;22;51,2480842;06/10/2021;529,6;5,101465845;66;2;270,7620024;13,61770248;38,62511063;5,156933784;0,259286523;0,000172173
166;Scyliorhinus;1;7;13,03344008;06/10/2021;534;5,831872178;93;1;206,2986626;13,75613499;38,59819031;5,065681458;0,256415159;9,33E-05
32;Scyliorhinus;0;0;0;27/10/2021;592,2;3,243611447;72;1;25,97425393;13,2938652;38,56541443;4,829983711;0,242833108;7,25E-06
116;Scyliorhinus;0;0;0;27/10/2021;592,2;3,243611447;71;1;25,97425393;13,2938652;38,56541443;4,829983711;0,242833108;7,25E-06
2;Scyliorhinus;1;30;55,72309633;29/10/2021;191;5,178542887;71;1;179,2403561;13,7327404;38,66304779;5,133205891;0,2600618;4,86E-05
43;Scyliorhinus;1;71;144,0209363;29/10/2021;195,67;2,26095262;24;1;81,54444402;13,72322178;38,51618195;4,995835781;0,259093195;8,21E-05
21;Scyliorhinus;1;15;31,39225337;19/11/2021;595,14;2,7901846;74;1;216,2143994;13,51832771;38,58197403;4,889162064;0,246132404;3,91E-06
192;Scyliorhinus;1;17;39,16472644;19/11/2021;585,37;2,847900463;97;1;177,2155562;13,6730299;38,53083801;4,54537487;0,232753068;0,000128503
